date,value
2007-01-01,5.6
2007-01-08,5.54
2007-01-15,5.42
2007-01-22,5.37
2007-01-29,5.34
2007-02-05,5.25
2007-02-12,5.07
2007-02-19,4.88
2007-02-26,4.85
2007-03-05,4.85
2007-03-12,4.86
2007-03-19,4.86
2007-03-26,4.88
2007-04-02,4.89
2007-04-09,4.9
2007-04-16,4.92
2007-04-23,4.98
2007-04-30,5.01
2007-05-07,5.07
2007-05-14,5.19
2007-05-21,5.36
2007-05-28,5.39
2007-06-04,5.4
2007-06-11,5.4
2007-06-18,5.42
2007-06-25,5.43
2007-07-02,5.54
2007-07-09,5.61
2007-07-16,5.49
2007-07-23,5.41
2007-07-30,5.3
2007-08-06,5.29
2007-08-13,5.29
2007-08-20,5.3
2007-08-27,5.34
2007-09-03,5.33
2007-09-10,5.31
2007-09-17,5.32
2007-09-24,5.35
2007-10-01,5.36
2007-10-08,5.36
2007-10-15,5.37
2007-10-22,5.38
2007-10-29,5.4
2007-11-05,5.41
2007-11-12,5.43
2007-11-19,5.44
2007-11-26,5.47
2007-12-03,5.44
2007-12-10,5.39
2007-12-17,5.36
2007-12-24,5.36
2007-12-31,5.34
2008-01-07,5.35
2008-01-14,5.34
2008-01-21,5.32
2008-01-28,5.3
2008-02-04,5.17
2008-02-11,4.89
2008-02-18,4.82
2008-02-25,4.86
2008-03-03,4.88
2008-03-10,4.85
2008-03-17,4.85
2008-03-24,4.83
2008-03-31,4.78
2008-04-07,4.8
2008-04-14,4.87
2008-04-21,4.95
2008-04-28,5.03
2008-05-05,5.06
2008-05-12,5.08
2008-05-19,5.31
2008-05-26,5.26
2008-06-02,5.28
2008-06-09,5.39
2008-06-16,5.43
2008-06-23,5.47
2008-06-30,5.59
2008-07-07,5.6
2008-07-14,5.39
2008-07-21,5.15
2008-07-28,4.89
2008-08-04,5.12
2008-08-11,5.45
2008-08-18,5.67
2008-08-25,5.84
2008-09-01,5.85
2008-09-08,5.88
2008-09-15,5.88
2008-09-22,5.89
2008-09-29,5.92
2008-10-06,5.95
2008-10-13,5.93
2008-10-20,5.89
2008-10-27,5.84
2008-11-03,5.82
2008-11-10,5.77
2008-11-17,5.7
2008-11-24,5.67
2008-12-01,5.66
2008-12-08,5.65
2008-12-15,5.63
2008-12-22,5.61
2008-12-29,5.59
2009-01-05,5.58
2009-01-12,5.6
2009-01-19,5.59
2009-01-26,5.56
2009-02-02,5.55
2009-02-09,5.52
2009-02-16,5.49
2009-02-23,5.46
2009-03-02,5.42
2009-03-09,5.37
2009-03-16,5.29
2009-03-23,5.22
2009-03-30,5.13
2009-04-06,5.19
2009-04-13,5.35
2009-04-20,5.41
2009-04-27,5.58
2009-05-04,5.61
2009-05-11,5.58
2009-05-18,5.56
2009-05-25,5.48
2009-06-01,5.48
2009-06-08,5.46
2009-06-15,5.43
2009-06-22,5.39
2009-06-29,5.36
2009-07-06,5.34
2009-07-13,5.12
2009-07-20,5.03
2009-07-27,5.02
2009-08-03,5.05
2009-08-10,5.08
2009-08-17,5.11
2009-08-24,5.15
2009-08-31,5.2
2009-09-07,5.26
2009-09-14,5.29
2009-09-21,5.37
2009-09-28,5.43
2009-10-05,5.4
2009-10-12,5.36
2009-10-19,5.32
2009-10-26,5.27
2009-11-02,5.24
2009-11-09,5.2
2009-11-16,5.17
2009-11-23,5.14
2009-11-30,5.09
2009-12-07,5.08
2009-12-14,5.08
2009-12-21,5.09
2009-12-28,5.11
2010-01-04,5.2
2010-01-11,5.22
2010-01-18,5.23
2010-01-25,5.28
2010-02-01,5.25
2010-02-08,5.25
2010-02-15,5.24
2010-02-22,5.23
2010-03-01,5.21
2010-03-08,5.2
2010-03-15,5.14
2010-03-22,4.93
2010-03-29,4.76
2010-04-05,4.78
2010-04-12,4.84
2010-04-19,4.89
2010-04-26,4.98
2010-05-03,5
2010-05-10,4.97
2010-05-17,4.88
2010-05-24,4.8
2010-05-31,4.71
2010-06-07,4.77
2010-06-14,4.84
2010-06-21,4.95
2010-06-28,5.06
2010-07-05,5.1
2010-07-12,5.16
2010-07-19,5.2
2010-07-26,5.27
2010-08-02,5.28
2010-08-09,5.22
2010-08-16,4.99
2010-08-23,4.97
2010-08-30,4.83
2010-09-06,4.79
2010-09-13,4.81
2010-09-20,4.84
2010-09-27,4.86
2010-10-04,4.88
2010-10-11,4.91
2010-10-18,4.96
2010-10-25,5
2010-11-01,5.03
2010-11-08,5.01
2010-11-15,4.9
2010-11-22,4.68
2010-11-29,4.55
2010-12-06,4.53
2010-12-13,4.56
2010-12-20,4.59
2010-12-27,4.64
2011-01-03,4.66
2011-01-10,4.68
2011-01-17,4.7
2011-01-24,4.67
2011-01-31,4.64
2011-02-07,4.61
2011-02-14,4.65
2011-02-21,4.71
2011-02-28,4.86
2011-03-07,4.87
2011-03-14,4.85
2011-03-21,4.81
2011-03-28,4.79
2011-04-04,4.82
2011-04-11,4.87
2011-04-18,4.94
2011-04-25,4.99
2011-05-02,5.01
2011-05-09,5.03
2011-05-16,5.09
2011-05-23,5.16
2011-05-30,5.25
2011-06-06,5.27
2011-06-13,5.33
2011-06-20,5.38
2011-06-27,5.46
2011-07-04,5.48
2011-07-11,5.5
2011-07-18,5.53
2011-07-25,5.56
2011-08-01,5.55
2011-08-08,5.57
2011-08-15,5.58
2011-08-22,5.6
2011-08-29,5.63
2011-09-05,5.63
2011-09-12,5.64
2011-09-19,5.66
2011-09-26,5.69
2011-10-03,5.71
2011-10-10,5.73
2011-10-17,5.74
2011-10-24,5.77
2011-10-31,5.8
2011-11-07,5.8
2011-11-14,5.81
2011-11-21,5.83
2011-11-28,5.85
2011-12-05,5.85
2011-12-12,5.83
2011-12-19,5.85
2011-12-26,5.87
