date,value
2012-01-17,8.970489
2012-01-18,8.805582
2012-01-19,9.449397
2012-01-20,7.730298
2012-01-21,9.60075
2012-01-22,11.812311
2012-01-23,13.777641
2012-01-24,17.663121
2012-01-25,17.613423
2012-01-26,20.459763
2012-04-23,15.828813
2012-04-24,14.401125
2012-04-25,12.792717
2012-04-26,14.035167
2012-04-27,11.421504
2012-04-28,9.910233
2012-04-29,10.118061
2012-04-30,9.214461
2012-05-01,7.102296
2012-05-02,7.276239
2012-05-03,8.023968
2012-05-04,6.903504
2012-05-05,9.858276
2012-05-06,8.107551
2012-05-07,12.162456
2012-05-08,7.653492
2012-05-09,5.654277
2012-05-10,3.512745
2012-05-11,3.548889
2012-05-12,3.00447
2012-05-13,5.170851
2012-05-14,4.524777
2012-05-22,2.141532
2012-05-23,1.827531
2012-05-24,1.771056
2012-05-25,6.241617
2012-05-26,2.920887
2012-05-27,2.826009
2012-05-28,3.008988
2012-05-29,2.559447
2012-05-30,2.457792
2012-05-31,2.563965
2012-06-01,2.740167
2012-06-02,1.832049
2012-06-03,3.309435
2012-06-04,2.195748
2012-06-05,2.489418
2012-06-06,2.451015
2012-06-07,2.532339
2012-06-08,2.14605
2012-06-09,1.96533
2012-06-10,1.585818
2012-06-11,1.585818
2012-06-12,1.33281
2012-06-13,1.17468
2012-06-14,0.779355
2012-06-15,0.815499
2012-06-16,0.727398
2012-06-17,0.456318
2012-06-18,0.666405
2012-06-19,1.92015
2012-06-20,0.840348
2012-06-21,1.172421
2012-06-22,13.739238
2012-06-23,16.741449
2012-06-24,14.306247
2012-06-25,9.630117
2012-06-26,8.428329
2012-06-27,7.088742
2012-06-28,5.640723
2012-06-29,2.839563
2012-06-30,1.475127
2012-07-01,0.0740952
2012-07-09,0.10470465
2012-07-10,0.250749
2012-07-11,0.420174
2012-07-12,0.738693
2012-07-13,0.860679
2012-07-14,0.596376
2012-07-15,1.005255
2012-07-16,0.973629
2012-07-17,1.443501
2012-07-18,2.048913
2012-07-19,3.379464
2012-07-20,3.309435
2012-07-21,3.397536
2012-07-22,3.133233
2012-07-23,1.682955
2012-07-24,1.560969
2012-07-25,2.812455
2012-07-26,3.11742
2012-08-21,1.484163
2012-08-22,1.37799
2012-08-23,1.533861
2012-08-24,1.590336
2012-08-25,1.540638
2012-08-26,1.497717
2012-08-27,1.269558
2012-08-28,1.795905
2012-08-29,1.834308
2012-08-30,2.204784
2012-08-31,1.538379
2012-09-01,1.653588
2012-09-02,1.870452
2012-09-03,1.721358
2012-09-04,2.963808
2012-09-05,2.274813
2012-09-06,3.239406
2012-09-07,1.725876
2012-09-08,0.713844
2012-09-09,3.582774
2012-09-10,0.332073
2012-09-11,0.192015
2012-09-12,0.063252
2012-09-13,0.06777
2012-09-14,0.253008
2012-09-15,0.178461
2012-09-16,0.237195
2012-09-17,0.070029
2012-09-19,0.447282
2012-09-21,0.831312
2012-09-22,0.944262
2012-09-23,0.688995
2012-09-24,0.826794
2012-09-25,0.822276
2012-09-26,1.339587
2012-09-27,0.851643
2012-10-01,0.765801
2012-10-02,1.063989
2012-10-03,1.147572
2012-10-04,1.228896
2012-10-05,1.271817
2012-10-06,0.912636
2012-10-07,2.410353
2012-10-08,0.94878
2012-10-09,1.136277
2012-10-10,1.201788
2012-10-11,1.124982
2012-10-12,1.364436
2012-10-13,1.224378
2012-10-14,1.183716
2012-10-15,0.862938
2012-10-16,0.137799
2012-10-17,0.097137
2012-10-18,0.571527
2012-10-19,0.164907
2012-10-20,0.0029367
2012-10-21,0.194274
2012-10-28,0.085842
2012-10-29,0.108432
2012-10-30,0.551196
2012-10-31,0.38403
2012-11-01,0.182979
2012-11-02,0.056475
2012-11-03,0.0198792
2012-11-04,0.352404
2012-11-05,1.314738
2012-11-06,1.755243
2012-11-07,2.116683
2012-11-12,0.85842
2012-12-31,5.0293453724605
2013-01-01,5.06997742663657
2013-01-02,4.79909706546276
2013-01-03,2.9706546275395
2013-01-04,6.18961625282167
2013-01-05,6.53047404063206
2013-01-06,8.83972911963883
2013-01-30,2.41986455981941
2013-01-31,17.3498871331828
2013-02-01,29.5011286681716
2013-02-02,26.9006772009029
2013-02-03,44
2013-02-04,49.3002257336343
2013-02-05,40.4379232505643
2013-02-06,35.5011286681716
2013-02-07,37.7990970654628
2013-02-08,34.0993227990971
2013-02-10,30.3002257336343
2013-02-24,15.3092550790068
2013-02-25,27.9006772009029
2013-02-26,36.2009029345372
2013-02-27,48.6004514672686
2013-03-01,51.3002257336343
2013-03-02,53.5011286681716
2013-03-03,51.5011286681716
2013-03-04,48.6997742663657
2013-03-05,36.2076749435666
2013-03-06,47.6975169300226
2013-03-07,37.9909706546275
2013-03-08,14.2437923250564
2013-03-09,20.6997742663657
2013-03-10,13.3634311512415
2013-04-06,30.0902934537246
2013-04-07,35.5981941309255
2013-04-08,45.3950338600451
2013-04-09,48.1038374717833
2013-04-10,46.7945823927765
2013-04-11,44.8081264108352
2013-04-12,38.8939051918736
2013-04-13,34.3115124153499
2013-04-14,37.607223476298
2013-04-15,41.196388261851
2013-04-16,43.0925507900677
2013-04-17,42.0993227990971
2013-04-18,43.0925507900677
2013-04-19,38.510158013544
2013-04-20,42.7990970654628
2013-04-21,36.9074492099323
2013-04-22,36.2979683972912
2013-04-23,36.4334085778781
2013-04-24,31.9864559819413
2013-04-25,29.8645598194131
2013-04-26,31.5349887133183
2013-04-27,32.8668171557562
2013-04-28,23.431151241535
2013-04-29,29.7516930022573
2013-05-28,31.6930022573363
2013-05-29,36.2076749435666
2013-05-30,37.8103837471783
2013-05-31,32.4830699774266
2013-06-10,31.1738148984199
2013-06-11,27.4040632054176
2013-06-12,24.6952595936795
2013-06-13,22.9119638826185
2013-06-14,20.451467268623
2013-06-15,16.4334085778781
2013-06-16,19.4130925507901
2013-06-17,16.86230248307
2013-06-18,11.5349887133183
2013-06-19,16.0722347629797
2013-06-20,10.9480812641084
2013-06-21,8.37471783295711
2013-06-24,6.41083521444695
2013-06-25,3.83747178329571
2013-06-26,10.0677200902935
2013-06-27,8.55530474040632
2013-06-28,8.32957110609481
2013-06-29,9.50338600451467
2013-06-30,6.86230248306998
2013-07-01,6.79458239277652
2013-07-02,6.25282167042889
2013-07-03,3.45372460496614
2013-07-04,2.82167042889391
2013-07-05,1.7607223476298
2013-07-06,2.34762979683973
2013-07-07,2.34762979683973
2013-07-08,1.51241534988713
2013-07-09,1.58013544018059
2013-07-10,1.42212189616253
2013-07-11,0.948081264108352
2013-07-12,0.270880361173815
2013-07-13,1.48984198645598
2013-07-14,4.31151241534989
2013-07-15,3.83747178329571
2013-07-16,2.88939051918736
2013-07-17,4.92099322799097
2013-07-18,4.55981941309255
2013-07-19,2.55079006772009
2013-07-20,2.70880361173815
2013-07-21,2.59593679458239
2013-07-22,2.686230248307
2013-07-23,2.41534988713318
2013-07-24,2.61851015801354
2013-07-25,2.61851015801354
2013-07-26,1.94130925507901
2013-07-27,1.73814898419865
2013-07-28,1.73814898419865
2013-07-29,2.57336343115124
2013-07-30,1.17381489841986
2013-07-31,2.00902934537246
2013-08-01,2.34762979683973
2013-08-02,2.14446952595937
2013-08-03,2.05417607223476
2013-08-04,0.586907449209932
2013-08-05,1.33182844243792
2013-08-06,2.14446952595937
2013-08-07,1.73814898419865
2013-08-08,0.857787810383747
2013-08-09,1.26410835214447
2013-08-10,0.18058690744921
2013-08-11,1.24153498871332
2013-08-13,1.15124153498871
2013-08-14,2.21218961625282
2013-08-15,1.69300225733634
2013-08-16,2.32505643340858
2013-08-17,2.21218961625282
2013-08-18,2.39277652370203
2013-08-19,2.64108352144469
2013-08-20,2.27990970654628
2013-08-21,0.0677200902934537
2013-08-22,0.767494356659142
2013-08-23,0.767494356659142
2013-08-25,2.61851015801354
2013-08-26,2.09932279909707
2013-08-27,6.11738148984199
2013-08-28,2.86681715575621
2013-08-29,3.6117381489842
2013-08-30,2.82167042889391
2013-08-31,3.63431151241535
2013-09-01,3.88261851015801
2013-09-02,3.27313769751693
2013-09-03,1.91873589164786
2013-09-04,2.43792325056433
2013-09-05,1.62528216704289
2013-09-06,2.48306997742664
2013-09-07,2.41534988713318
2013-09-08,2.75395033860045
2013-09-09,2.12189616252822
2013-09-10,2.57336343115124
