date,value
2006-10-19,0.016
2006-10-20,0.016
2006-10-21,0.016
2006-10-22,0.016
2006-10-23,0.015
2006-10-24,0.015
2006-10-25,0.015
2006-10-26,0.015
2006-10-27,0.016
2006-10-28,0.014
2006-10-29,0.016
2006-10-30,0.017
2006-10-31,0.016
2006-11-01,0.017
2006-11-02,0.018
2006-11-03,0.017
2006-11-04,0.017
2006-11-05,0.021
2006-11-06,0.023
2006-11-07,0.02
2006-11-08,0.019
2006-11-09,0.019
2006-11-10,0.019
2006-11-11,0.018
2006-11-12,0.021
2006-11-13,0.02
2006-11-14,0.022
2006-11-15,0.02
2006-11-16,0.016
2006-11-17,0.015
2006-11-18,0.01
2006-11-19,0.006
2006-11-20,0.006
2006-11-21,0.008
2006-11-22,0.008
2006-11-23,0.01
2006-11-24,0.008
2006-11-25,0.007
2006-11-26,0.007
2006-11-27,0.006
2006-11-28,0.006
2006-11-29,0.006
2006-11-30,0.005
2006-12-01,0.005
2006-12-02,0.006
2006-12-03,0.006
2006-12-04,0.006
2006-12-05,0.006
2006-12-06,0.006
2006-12-07,0.008
2006-12-08,0.007
2006-12-09,0.007
2006-12-10,0.009
2006-12-11,0.009
2006-12-12,0.013
2006-12-13,0.014
2006-12-14,0.013
2006-12-15,0.011
2006-12-16,0.009
2006-12-17,0.01
2006-12-18,0.008
2006-12-19,0.006
2006-12-20,0.006
2006-12-21,0.006
2006-12-22,0.006
2006-12-23,0.006
2006-12-24,0.006
2006-12-25,0.006
2006-12-26,0.006
2006-12-27,0.006
2006-12-28,0.006
2006-12-29,0.006
2006-12-30,0.006
2006-12-31,0.007
2007-01-01,0.009
2007-01-02,0.007
2007-01-03,0.006
2007-01-04,0.006
2007-01-05,0.007
2007-01-06,0.006
2007-01-07,0.011
2007-01-08,0.01
2007-01-09,0.01
2007-01-10,0.011
2007-01-11,0.012
2007-01-12,0.014
2007-01-13,0.013
2007-01-14,0.012
2007-01-15,0.011
2007-01-16,0.011
2007-01-17,0.011
2007-01-18,0.015
2007-01-19,0.021
2007-01-20,0.02
2007-01-21,0.024
2007-01-22,0.029
2007-01-23,0.028
2007-01-24,0.026
2007-01-25,0.028
2007-01-26,0.027
2007-01-27,0.016
2007-01-28,0.018
2007-01-29,0.029
2007-01-30,0.034
2007-01-31,0.043
2007-02-01,0.14
2007-02-02,0.148
2007-02-03,0.178
2007-02-04,0.151
2007-02-05,0.149
2007-02-06,0.125
2007-02-07,0.105
2007-02-08,0.085
2007-02-09,0.065
2007-02-10,0.042
2007-02-11,0.064
2007-02-12,0.045
2007-02-13,0.041
2007-02-14,0.046
2007-02-15,0.077
2007-02-16,0.191
2007-02-17,0.229
2007-02-18,0.208
2007-02-19,0.169
2007-02-20,0.14
2007-02-21,0.111
2007-02-22,0.081
2007-02-23,0.069
2007-02-24,0.061
2007-02-25,0.056
2007-02-26,0.05
2007-02-27,0.05
2007-02-28,0.057
2007-03-01,0.148
2007-03-02,0.231
2007-03-03,0.262
2007-03-04,0.226
2007-03-05,0.193
2007-03-06,0.179
2007-03-07,0.172
2007-03-08,0.13
2007-03-09,0.096
2007-03-10,0.075
2007-03-11,0.061
2007-03-12,0.053
2007-03-13,0.044
2007-03-14,0.038
2007-03-15,0.037
2007-03-16,0.037
2007-03-17,0.035
2007-03-18,0.035
2007-03-19,0.036
2007-03-20,0.035
2007-03-21,0.061
2007-03-22,0.248
2007-03-23,0.572
2007-03-24,0.563
2007-03-25,0.48
2007-03-26,0.429
2007-03-27,0.365
2007-03-28,0.288
2007-03-29,0.219
2007-03-30,0.167
2007-03-31,0.122
2007-04-01,0.093
2007-04-02,0.07
2007-04-03,0.061
2007-04-04,0.044
2007-04-05,0.038
2007-04-06,0.034
2007-04-07,0.031
2007-04-08,0.029
2007-04-09,0.029
2007-04-10,0.03
2007-04-11,0.031
2007-04-12,0.029
2007-04-13,0.027
2007-04-14,0.025
2007-04-15,0.024
2007-04-16,0.023
2007-04-17,0.022
2007-04-18,0.021
2007-04-19,0.02
2007-04-20,0.019
2007-04-21,0.017
2007-04-22,0.016
2007-04-23,0.016
2007-04-24,0.015
2007-04-25,0.014
2007-04-26,0.014
2007-04-27,0.014
2007-04-28,0.014
2007-04-29,0.015
2007-04-30,0.014
2007-05-01,0.013
2007-05-02,0.013
2007-05-03,0.013
2007-05-04,0.012
2007-05-05,0.013
2007-05-06,0.014
2007-05-07,0.015
2007-05-08,0.018
2007-05-09,0.019
2007-05-10,0.019
2007-05-11,0.021
2007-05-12,0.022
2007-05-13,0.025
2007-05-14,0.025
