"","id","lu_mgt","et_check","eplant_check","sw_check","cn_check","et","eplant","esoil","cn","sw_final"
"1",3,"field_3_lum_3_1",NA,"eplant < esoil",NA,NA,486.899,208.84,260.452,64.119,151.511
"2",5,"field_5_lum_5_1",NA,"eplant < esoil",NA,NA,480.045,193.52,279.256,51.973,177.115
"3",6,"field_6_lum_6_1","et < 98% precip","eplant < esoil",NA,NA,510.465,239.797,261.269,72.992,221.734
"4",7,"field_7_lum_7_1",NA,"eplant < esoil",NA,NA,483.377,168.495,304.299,64.286,144.859
"5",8,"field_8_lum_8_1",NA,"eplant < esoil",NA,NA,488.357,189.345,291.189,64.266,112.275
"6",9,"field_9_lum_9_1",NA,"eplant < esoil",NA,NA,481.118,217.745,254.875,77.793,107.742
"7",10,"field_10_lum_10_1",NA,"eplant < esoil",NA,NA,487.122,231.508,246.294,72.997,112.43
"8",11,"field_11_lum_11_1","et < 98% precip","eplant < esoil",NA,NA,494.964,229.588,256.914,73.001,113.889
"9",12,"field_12_lum_12_1",NA,"eplant < esoil",NA,NA,486.651,191.205,285.782,51.849,201.186
"10",13,"alfa_lum_13_1","et < 98% precip",NA,NA,"cn < 35",502.13,263.999,190.954,12.245,69.748
"11",14,"field_14_lum_14_1",NA,"eplant < esoil",NA,NA,493.415,217.813,267.427,51.828,119.99
"12",15,"field_15_lum_15_1",NA,"eplant < esoil",NA,NA,471.562,195.536,267.737,83.517,74.521
"13",16,"field_16_lum_16_1",NA,"eplant < esoil",NA,NA,494.718,227.09,259.137,64.134,70.275
"14",17,"field_17_lum_17_1",NA,"eplant < esoil",NA,NA,491.359,203.199,280.542,69.286,139.525
"15",19,"field_19_lum_19_1",NA,"eplant < esoil",NA,NA,495.068,190.017,291.992,64.144,76.683
"16",20,"field_20_lum_20_1",NA,"eplant < esoil",NA,NA,485.89,228.927,247.374,68.953,148.935
"17",22,"field_22_lum_22_1",NA,"eplant < esoil",NA,NA,485.855,190.048,282.685,64.302,159.359
"18",23,"field_23_lum_23_1",NA,"eplant < esoil",NA,NA,480.574,150.019,311.955,64.403,185.425
"19",24,"field_24_lum_24_1",NA,"eplant < esoil",NA,NA,490.504,216.754,260.808,64.195,157.381
"20",25,"field_25_lum_25_1",NA,"eplant < esoil",NA,NA,481.605,218.467,253.245,78.428,114.77
"21",26,"field_26_lum_26_1","et < 98% precip",NA,NA,NA,499.453,242.614,242.275,78.054,83.455
"22",28,"field_28_lum_28_1",NA,"eplant < esoil",NA,NA,484.486,171.714,302.297,73.043,125.432
"23",30,"field_30_lum_30_1","et < 98% precip",NA,NA,NA,522.628,281.037,228.86,79.033,123.646
"24",31,"field_31_lum_31_1",NA,"eplant < esoil",NA,NA,490.427,186.453,296.076,51.897,156.578
"25",32,"field_32_lum_32_1","et < 98% precip",NA,NA,NA,498.549,260.329,226.268,63.865,70.853
"26",33,"field_33_lum_33_1",NA,"eplant < esoil",NA,NA,491.202,234.612,248.644,64.2,131.335
"27",34,"field_34_lum_34_1","et < 98% precip","eplant < esoil",NA,NA,513.379,236.834,265.724,64.195,241.176
"28",35,"field_35_lum_35_1","et < 98% precip",NA,NA,NA,497.29,254.219,228.189,63.962,150.338
"29",38,"field_38_lum_38_1",NA,"eplant < esoil",NA,NA,490.552,186.529,294.567,64.21,179.706
"30",39,"fesc_lum_39_1","et < 98% precip",NA,NA,NA,504.802,343.75,85.532,41.133,68.846
"31",40,"field_40_lum_40_1","et < 98% precip","eplant < esoil",NA,NA,502.328,186.639,308.53,64.21,66.247
"32",41,"field_41_lum_41_1","et < 98% precip","eplant < esoil",NA,NA,499.983,179.323,308.635,64.2,86.879
"33",42,"field_42_lum_42_1",NA,"eplant < esoil",NA,NA,491.177,144.304,329.406,64.266,187.395
"34",43,"field_43_lum_43_1",NA,"eplant < esoil",NA,NA,491.36,194.96,289.486,55.818,130.372
"35",44,"field_44_lum_44_1",NA,"eplant < esoil",NA,NA,487.933,211.622,259.536,51.661,171.941
"36",45,"field_45_lum_45_1",NA,"eplant < esoil",NA,NA,487.092,209.379,265.314,51.763,163.692
"37",47,"field_47_lum_47_1",NA,"eplant < esoil",NA,NA,484.531,225.375,249.768,51.817,185.277
"38",48,"field_48_lum_48_1",NA,"eplant < esoil",NA,NA,484.145,194.731,281.796,69.153,180.556
"39",49,"field_49_lum_49_1",NA,"eplant < esoil",NA,NA,492.983,191.997,292.352,70.705,231.806
"40",50,"field_50_lum_50_1",NA,"eplant < esoil",NA,NA,489.104,214.245,266.978,64.175,184.951
"41",51,"field_51_lum_51_1",NA,"eplant < esoil",NA,NA,486.496,199.343,279.977,51.844,182.798
"42",52,"field_52_lum_52_1",NA,"eplant < esoil",NA,NA,456.907,122.366,327.33,64.373,212.222
"43",53,"field_53_lum_53_1",NA,"eplant < esoil",NA,NA,429.365,182.081,239.317,90.557,226.902
"44",54,"field_54_lum_54_1",NA,"eplant < esoil",NA,NA,464.296,145.873,309.258,88.729,118.728
"45",55,"field_55_lum_55_1",NA,"eplant < esoil",NA,NA,485.757,207.366,270.062,51.844,190.617
"46",56,"field_56_lum_56_1",NA,"eplant < esoil",NA,NA,484.263,208.538,267.623,68.854,183.737
"47",57,"field_57_lum_57_1",NA,"eplant < esoil",NA,NA,488.83,227.346,254.455,64.17,179.349
"48",58,"field_58_lum_58_1",NA,"eplant < esoil",NA,NA,483.048,225.907,245.358,75.869,108.626
"49",59,"field_59_lum_59_1",NA,"eplant < esoil",NA,NA,488.365,191.488,290.11,51.838,173.664
"50",60,"field_60_lum_60_1",NA,"eplant < esoil",NA,NA,478.124,215.143,254.333,76.498,154.586
"51",62,"field_62_lum_62_1",NA,"eplant < esoil",NA,NA,481.496,202.871,271.955,51.881,174.626
"52",63,"field_63_lum_63_1",NA,"eplant < esoil",NA,NA,484.685,212.165,265.294,51.854,140.374
"53",64,"field_64_lum_64_1",NA,"eplant < esoil",NA,NA,483.354,189.183,287.065,51.817,194.153
"54",65,"field_65_lum_65_1",NA,"eplant < esoil",NA,NA,491.778,238.52,243.221,51.58,130.355
"55",66,"field_66_lum_66_1",NA,"eplant < esoil",NA,NA,490.393,229.14,251.982,51.704,191.621
"56",67,"fesc_lum_67_1","et < 98% precip",NA,NA,"cn < 35",503.865,338.133,92.731,12.192,66.024
"57",68,"field_68_lum_68_1",NA,"eplant < esoil",NA,NA,468.61,159.831,300.778,51.849,124.622
"58",69,"field_69_lum_69_1",NA,"eplant < esoil",NA,NA,472.889,219.755,241.411,51.682,132.512
"59",70,"field_70_lum_70_1",NA,"eplant < esoil",NA,NA,487.232,210.361,265.736,51.704,150.406
"60",71,"field_71_lum_71_1",NA,"eplant < esoil",NA,NA,463.417,199.273,252.85,73.12,205.985
"61",72,"field_72_lum_72_1",NA,"eplant < esoil",NA,NA,474.649,226.87,236.639,73.224,197.029
"62",76,"field_76_lum_76_1",NA,"eplant < esoil",NA,NA,489.57,197.524,284.681,64.205,178.553
"63",77,"field_77_lum_77_1",NA,"eplant < esoil",NA,NA,485.822,178.721,298.618,64.251,184.388
"64",78,"field_78_lum_78_1",NA,"eplant < esoil",NA,NA,485.897,195.558,283.125,51.86,186.176
"65",79,"field_79_lum_79_1",NA,"eplant < esoil",NA,NA,482.926,154.122,319.446,64.281,169.853
"66",80,"field_80_lum_80_1",NA,"eplant < esoil",NA,NA,485.325,178.174,299.505,64.246,177.711
"67",81,"field_81_lum_81_1",NA,"eplant < esoil",NA,NA,486.809,174.638,306.251,51.887,170.984
"68",82,"field_82_lum_82_1",NA,"eplant < esoil",NA,NA,461.412,174.747,278.901,52.069,203.39
"69",83,"field_83_lum_83_1",NA,"eplant < esoil",NA,NA,487.689,173.031,306.832,69.661,136.607
"70",84,"field_84_lum_84_1",NA,"eplant < esoil",NA,NA,493.931,220.425,265.365,51.811,125.813
"71",85,"field_85_lum_85_1",NA,"eplant < esoil",NA,NA,494.079,190.856,288.641,68.528,73.539
"72",86,"field_86_lum_86_1","et < 98% precip",NA,NA,NA,498.621,256.956,226.869,63.886,77.237
"73",87,"field_87_lum_87_1","et < 98% precip","eplant < esoil",NA,NA,500.365,219.524,273.525,51.806,72.73
"74",88,"field_88_lum_88_1","et < 98% precip","eplant < esoil",NA,NA,503.809,188.915,308.479,64.251,219.064
"75",89,"field_89_lum_89_1",NA,"eplant < esoil",NA,NA,488.561,161.341,320.322,64.276,170.678
"76",90,"field_90_lum_90_1",NA,"eplant < esoil",NA,NA,482.133,154.59,316.968,64.307,171.11
"77",91,"field_91_lum_91_1",NA,"eplant < esoil",NA,NA,482.769,154.008,318.368,64.307,162.95
"78",92,"field_92_lum_92_1",NA,"eplant < esoil",NA,NA,463.216,131.355,324.218,64.423,215.451
"79",93,"field_93_lum_93_1",NA,"eplant < esoil",NA,NA,494.443,231.688,253.006,64.155,165.109
"80",94,"field_94_lum_94_1",NA,"eplant < esoil",NA,NA,486.849,215.8,262.073,64.22,75.38
"81",96,"field_96_lum_96_1","et < 98% precip",NA,NA,NA,541.439,310.294,214.537,63.879,133.286
"82",97,"field_97_lum_97_1","et < 98% precip",NA,NA,NA,520.592,262.925,248.298,49.759,73.022
"83",98,"field_98_lum_98_1","et < 98% precip",NA,NA,NA,500.594,266.489,224.053,63.835,78.499
"84",99,"field_99_lum_99_1",NA,"eplant < esoil",NA,NA,489.544,191.874,289.697,64.286,108.09
"85",100,"field_100_lum_100_1","et < 98% precip",NA,NA,NA,500.806,249.09,239.008,66.717,73.049
"86",102,"field_102_lum_102_1","et < 98% precip","eplant < esoil","> 600mm",NA,563.92,202.487,350.591,94.101,925.636
"87",103,"field_103_lum_103_1","et < 98% precip",NA,NA,NA,499.029,249.829,238.576,64.104,94.257
"88",104,"fesc_lum_104_1","et < 98% precip",NA,NA,NA,532.352,364.772,93.267,60.846,72.412
"89",105,"field_105_lum_105_1",NA,"eplant < esoil",NA,NA,474.564,198.55,266.218,51.736,120.788
"90",106,"field_106_lum_106_1",NA,"eplant < esoil",NA,NA,471.835,176.462,287.501,51.779,128.271
"91",107,"field_107_lum_107_1",NA,"eplant < esoil",NA,NA,492.082,199.868,285.104,51.844,129.175
"92",108,"field_108_lum_108_1",NA,"eplant < esoil",NA,NA,468.942,169.553,291.436,51.828,121.975
"93",109,"field_109_lum_109_1",NA,"eplant < esoil",NA,NA,476.778,213.646,254.197,51.715,131.366
"94",110,"field_110_lum_110_1",NA,"eplant < esoil",NA,NA,456.534,166.302,280.898,64.373,189.358
"95",112,"field_112_lum_112_1",NA,"eplant < esoil",NA,NA,487.991,233.639,245.004,77.548,69.392
"96",114,"field_114_lum_114_1","et < 98% precip","eplant < esoil",NA,NA,503.015,241.764,249.784,63.941,121.3
"97",115,"field_115_lum_115_1","et < 98% precip","eplant < esoil",NA,NA,499.383,240.941,246.899,63.982,116.797
"98",117,"alfa_lum_117_1","et < 98% precip",NA,NA,"cn < 35",497.614,261.871,190.504,12.251,69.534
"99",118,"field_118_lum_118_1",NA,"eplant < esoil",NA,NA,452.712,143.583,302.736,61.165,200.857
"100",119,"field_119_lum_119_1",NA,"eplant < esoil",NA,NA,485.052,179.996,296.882,51.897,188.819
"101",120,"field_120_lum_120_1","et < 98% precip","eplant < esoil",NA,NA,505.412,223.341,273.835,49.828,135.565
"102",121,"field_121_lum_121_1",NA,"eplant < esoil",NA,NA,466.775,158.047,287.754,51.838,117.01
"103",122,"field_122_lum_122_1",NA,"eplant < esoil",NA,NA,467.708,158.193,299.166,51.865,130.689
"104",123,"field_123_lum_123_1","et < 98% precip","eplant < esoil",NA,NA,505.355,201.169,297.743,49.941,148.541
"105",124,"field_124_lum_124_1",NA,"eplant < esoil",NA,NA,471.283,184.183,277.811,51.828,110.909
"106",125,"field_125_lum_125_1",NA,"eplant < esoil",NA,NA,479.421,140.271,322.407,73.352,152.44
"107",126,"field_126_lum_126_1",NA,"eplant < esoil",NA,NA,489.732,213.282,264.931,64.124,134.327
"108",127,"field_127_lum_127_1",NA,"eplant < esoil",NA,NA,486.408,197.404,280.113,73.225,120.015
"109",130,"field_130_lum_130_1",NA,"eplant < esoil",NA,NA,488.003,240.153,240.683,64.104,70.698
"110",131,"field_131_lum_131_1",NA,"eplant < esoil",NA,NA,480.338,157.351,313.859,51.86,175.016
"111",132,"field_132_lum_132_1",NA,"eplant < esoil",NA,NA,473.518,148.286,316.556,64.261,143.858
"112",133,"field_133_lum_133_1",NA,"eplant < esoil",NA,NA,469.996,172.749,288.516,84.399,98.031
"113",134,"alfa_lum_134_1","et < 98% precip",NA,NA,NA,536.309,295.406,194.225,60.001,142.342
"114",139,"field_139_lum_139_1","et < 98% precip",NA,NA,NA,497.9,264.67,218.587,80.755,184.606
"115",140,"field_140_lum_140_1",NA,"eplant < esoil",NA,NA,470.917,172.583,289.231,83.849,72.527
"116",141,"field_141_lum_141_1",NA,"eplant < esoil",NA,NA,482.809,190.667,280.806,65.02,155.416
"117",142,"field_142_lum_142_1",NA,"eplant < esoil",NA,NA,483,152.644,320.214,79.979,153.338
"118",143,"field_143_lum_143_1",NA,"eplant < esoil",NA,NA,489.799,194.327,285.814,68.313,127.151
"119",144,"field_144_lum_144_1",NA,"eplant < esoil",NA,NA,475.016,193.763,274.455,51.785,97.019
"120",145,"field_145_lum_145_1",NA,"eplant < esoil",NA,NA,479.962,226.892,240.663,51.516,69.131
"121",146,"alfa_lum_146_1","et < 98% precip",NA,NA,"cn < 35",497.505,263.812,188.089,12.248,69.42
"122",147,"alfa_lum_147_1","et < 98% precip",NA,NA,"cn < 35",498.334,262.603,190.311,12.248,70.048
"123",148,"field_148_lum_148_1",NA,"eplant < esoil",NA,NA,469.637,190.246,266.072,51.774,70.466
"124",149,"field_149_lum_149_1",NA,"eplant < esoil",NA,NA,484.536,192.252,279.05,51.763,71.446
"125",150,"field_150_lum_150_1",NA,"eplant < esoil",NA,NA,476.568,168.53,297.013,51.833,148.199
"126",151,"field_151_lum_151_1",NA,"eplant < esoil",NA,NA,491.104,215.586,265.454,51.763,129.5
"127",152,"field_152_lum_152_1","et < 98% precip",NA,NA,NA,499.942,292.999,193.961,72.814,119.24
"128",153,"field_153_lum_153_1",NA,"eplant < esoil",NA,NA,485.883,207.621,272.213,51.806,118.937
"129",155,"field_155_lum_155_1",NA,"eplant < esoil",NA,NA,480.711,176.335,297.865,51.833,138.401
"130",156,"field_156_lum_156_1",NA,"eplant < esoil",NA,NA,485.786,219.921,257.954,84.842,102.019
"131",157,"field_157_lum_157_1",NA,"eplant < esoil",NA,NA,494.44,238.725,248.524,51.801,161.361
"132",158,"field_158_lum_158_1",NA,"eplant < esoil",NA,NA,464.153,164.761,287.82,51.844,151.761
"133",159,"field_159_lum_159_1",NA,"eplant < esoil",NA,NA,489.695,218.32,261.698,64.134,74.687
"134",161,"field_161_lum_161_1",NA,"eplant < esoil",NA,NA,491.536,225.372,253.733,72.869,125.298
"135",162,"field_162_lum_162_1",NA,"eplant < esoil",NA,NA,484.577,179.136,297.74,79.946,128.322
"136",163,"field_163_lum_163_1",NA,"eplant < esoil",NA,NA,483.979,230.695,238.825,77.563,126.196
"137",164,"field_164_lum_164_1",NA,"eplant < esoil",NA,NA,470.51,209.56,252.149,83.233,127.616
"138",166,"field_166_lum_166_1",NA,"eplant < esoil",NA,NA,464.585,216.514,237.694,73.065,244.694
"139",167,"field_167_lum_167_1",NA,"eplant < esoil",NA,NA,483.25,156.764,317.189,51.887,176.327
"140",168,"field_168_lum_168_1",NA,"eplant < esoil",NA,NA,442.379,175.273,256.863,90.63,67.849
"141",169,"field_169_lum_169_1","et < 98% precip","eplant < esoil",NA,NA,503.276,189.81,305.378,49.323,175.421
"142",170,"field_170_lum_170_1","et < 98% precip",NA,NA,NA,504.922,278.947,202.315,63.794,75.911
"143",171,"field_171_lum_171_1","et < 98% precip",NA,NA,NA,499.86,273.831,208.825,63.672,80.185
"144",172,"field_172_lum_172_1","et < 98% precip",NA,NA,NA,503.283,275.387,202.809,63.617,87.328
"145",173,"field_173_lum_173_1",NA,"eplant < esoil",NA,NA,496.388,222.47,262.38,64.063,142.581
"146",174,"fesc_lum_174_1","et < 98% precip",NA,NA,NA,523.84,364.212,83.622,41.237,69.728
"147",175,"field_175_lum_175_1","et < 98% precip","eplant < esoil",NA,NA,497.587,225.466,262.95,64.094,109.996
"148",177,"field_177_lum_177_1",NA,"eplant < esoil",NA,NA,458.398,175.393,274.418,51.903,131.67
"149",178,"field_178_lum_178_1","et < 98% precip","eplant < esoil",NA,NA,497.692,220.871,267.492,64.094,75.809
"150",179,"field_179_lum_179_1","et < 98% precip",NA,NA,NA,503.361,256.58,222.647,63.733,71.652
"151",180,"field_180_lum_180_1","et < 98% precip","eplant < esoil",NA,NA,503.096,224.413,258.888,63.931,75.576
"152",183,"field_183_lum_183_1","et < 98% precip","eplant < esoil",NA,NA,498.457,221.143,270.694,64.165,163.668
"153",184,"field_184_lum_184_1",NA,"eplant < esoil",NA,NA,494.822,222.941,262.936,64.17,164.739
"154",185,"field_185_lum_185_1","et < 98% precip","eplant < esoil",NA,NA,498.353,196.34,292.275,64.149,74.906
"155",186,"field_186_lum_186_1","et < 98% precip",NA,NA,NA,520.664,276.949,229.585,72.989,254.27
"156",187,"field_187_lum_187_1",NA,"eplant < esoil",NA,NA,484.059,222.996,251.974,72.958,121.11
"157",188,"field_188_lum_188_1","et < 98% precip","eplant < esoil",NA,NA,503.891,222.029,274.072,73.095,199.792
"158",190,"field_190_lum_190_1","et < 98% precip",NA,NA,NA,497.574,249.033,239.424,72.975,112.467
"159",191,"field_191_lum_191_1",NA,"eplant < esoil",NA,NA,488.304,223.242,256.843,72.933,117.874
"160",192,"field_192_lum_192_1",NA,"eplant < esoil",NA,NA,488.756,217.368,263.584,73.018,141.144
"161",193,"field_193_lum_193_1","et < 98% precip","eplant < esoil",NA,NA,499.673,198.517,292.929,80.322,235.688
"162",194,"field_194_lum_194_1",NA,"eplant < esoil",NA,NA,477.663,217.623,252.301,77.18,127.219
"163",197,"field_197_lum_197_1",NA,"eplant < esoil",NA,NA,484.297,180.021,296.832,73.128,134.499
"164",198,"field_198_lum_198_1","et < 98% precip",NA,NA,NA,502,287.796,188.1,51.193,68.274
"165",199,"field_199_lum_199_1","et < 98% precip",NA,NA,NA,499.362,275.667,195.67,51.199,104.861
"166",200,"field_200_lum_200_1","et < 98% precip",NA,NA,NA,501.312,271.51,183.961,51.086,75.327
"167",201,"field_201_lum_201_1","et < 98% precip",NA,NA,NA,497.988,262.336,207.371,51.193,71.918
"168",202,"field_202_lum_202_1","et < 98% precip",NA,NA,NA,496.156,255.363,217.637,51.376,71.371
"169",203,"field_203_lum_203_1",NA,"eplant < esoil",NA,NA,468.576,157.789,303.213,51.871,136.824
"170",204,"field_204_lum_204_1","et < 98% precip","eplant < esoil",NA,NA,496.636,240.015,242.488,51.484,81.225
"171",205,"fesc_lum_205_1","et < 98% precip",NA,NA,"cn < 35",500.641,340.408,88.628,12.244,66.961
"172",206,"field_206_lum_206_1",NA,"eplant < esoil",NA,NA,472.652,189.45,273.903,51.806,67.589
"173",207,"field_207_lum_207_1",NA,"eplant < esoil",NA,NA,487.581,208.961,270.896,64.226,141.255
"174",208,"field_208_lum_208_1","et < 98% precip","eplant < esoil",NA,NA,516.509,252.35,256.526,64.282,245.579
"175",212,"field_212_lum_212_1",NA,"eplant < esoil",NA,NA,483.09,197.358,275.173,77.466,110.548
"176",215,"field_215_lum_215_1",NA,"eplant < esoil",NA,NA,477.063,168.365,301.192,51.828,66.801
"177",216,"field_216_lum_216_1","et < 98% precip","eplant < esoil",NA,NA,499.421,202.47,287.498,64.175,226.982
"178",217,"field_217_lum_217_1","et < 98% precip","eplant < esoil",NA,NA,496.508,189.472,300.629,64.221,77.421
"179",219,"field_219_lum_219_1",NA,"eplant < esoil",NA,NA,479.833,217.531,250.738,77.706,137.927
"180",220,"field_220_lum_220_1",NA,"eplant < esoil",NA,NA,482.523,170.967,301.318,73.116,142.939
"181",221,"field_221_lum_221_1","et < 98% precip","eplant < esoil",NA,NA,498.177,191.718,298.379,79.087,218.466
"182",222,"field_222_lum_222_1",NA,"eplant < esoil",NA,NA,482.821,218.677,252.511,77.652,72.239
"183",223,"field_223_lum_223_1",NA,"eplant < esoil",NA,NA,477.575,198.901,270.504,51.731,103.872
"184",224,"field_224_lum_224_1",NA,"eplant < esoil",NA,NA,469.837,182.993,278.807,51.785,129.913
"185",225,"field_225_lum_225_1",NA,"eplant < esoil",NA,NA,490.68,201.086,282.699,51.833,156.584
"186",227,"field_227_lum_227_1",NA,"eplant < esoil",NA,NA,497.97,228.197,261.019,64.139,128.644
"187",228,"field_228_lum_228_1",NA,"eplant < esoil",NA,NA,491.382,215.029,268.201,64.195,140.478
